address,city,floor,latitude,longitude,price,rooms,sq,year,price_per_sq
Prądnik Biały ul. Zygmunta Glogera,Kraków,0.0,50.0991994,19.9296689,430000.0,2.0,39.0,2017.0,11025.641025641025
Podgórze Zabłocie Stanisława Klimeckiego,Kraków,3.0,50.0492242,19.9703793,709000.0,3.0,69.67,2021.0,10176.546576718816
Grzegórzki Grzegórzecka,Kraków,2.0,50.0587885,19.9500605,1003557.0,3.0,81.59,2021.0,12300.0
Podgórze ul. Koszykarska,Kraków,1.0,50.0498929,19.9906026,621800.0,3.0,62.0,2021.0,10029.032258064517
Dębniki Stare Dębniki Kazimierza Pułaskiego,Kraków,2.0,50.0506457,19.9293082,850000.0,3.0,64.0,2008.0,13281.25
Mistrzejowice Piasta Kołodzieja,Kraków,1.0,50.0986433,20.0132206,530000.0,3.0,48.5,2020.0,10927.835051546392
Grzegórzki ul. płk. Francesco Nullo,Kraków,1.0,50.0469432,19.997153435836697,699017.0,3.0,57.77,2022.0,12100.0
Zwierzyniec Podłącze,Kraków,1.0,50.0469432,19.997153435836697,1512720.0,5.0,132.09,2020.0,11452.191687485805
Prądnik Biały Żabiniec Żabiniec,Kraków,2.0,50.0844088,19.9449087,569000.0,3.0,53.0,2016.0,10735.849056603774
Dębniki Ruczaj prof. Michała Bobrzyńskiego,Kraków,5.0,50.0206269,19.8981903,680000.0,3.0,66.0,2005.0,10303.030303030304
Stare Miasto ul. Szlak,Kraków,2.0,50.0711279,19.9355011,715000.0,2.0,57.0,2010.0,12543.859649122807
