address,city,floor,price,rooms,sq,year,price_per_sq
Podgórze,Kraków,2.0,1115000.0,4.0,106.0,2018.0,10518.867924528302
Grzegórzki,Kraków,0.0,564000.0,2.0,47.0,2018.0,12000.0
Prądnik Czerwony,Kraków,0.0,355000.0,2.0,34.5,2008.0,10289.855072463768
Prądnik Biały,Kraków,1.0,476649.0,2.0,50.2,2021.0,9495.0
Krowodrza,Kraków,3.0,1080000.0,3.0,118.0,1930.0,9152.542372881357
Prądnik Biały,Kraków,0.0,539000.0,3.0,69.0,2007.0,7811.594202898551
Podgórze Duchackie,Kraków,2.0,465000.0,3.0,62.0,1984.0,7500.0
Dębniki,Kraków,1.0,390000.0,1.0,43.5,2017.0,8965.51724137931
Podgórze Duchackie,Kraków,5.0,449000.0,3.0,52.5,1980.0,8552.380952380952
Podgórze Duchackie,Kraków,3.0,537000.0,4.0,57.5,1980.0,9339.130434782608
Podgórze Duchackie,Kraków,0.0,695000.0,4.0,62.0,2014.0,11209.67741935484
Prądnik Biały,Kraków,3.0,379000.0,2.0,38.0,2019.0,9973.684210526317
Nowa Huta,Kraków,0.0,568000.0,2.0,50.22,2009.0,11310.234966148944
Stare Miasto,Kraków,2.0,1290000.0,3.0,96.0,1930.0,13437.5
Podgórze,Kraków,0.0,349000.0,1.0,35.0,1900.0,9971.42857142857
Nowa Huta,Kraków,2.0,856992.0,3.0,75.84,2022.0,11300.0
Stare Miasto,Kraków,4.0,628400.0,2.0,62.84,2020.0,10000.0
Prądnik Czerwony,Kraków,1.0,627445.0,3.0,68.95,2021.0,9100.0
Bieżanów-Prokocim,Kraków,4.0,292000.0,2.0,35.0,1980.0,8342.857142857143
Podgórze,Kraków,1.0,598000.0,4.0,78.2,1997.0,7647.058823529412
Podgórze,Kraków,1.0,435000.0,3.0,55.0,2000.0,7909.090909090909
Krowodrza,Kraków,2.0,740000.0,3.0,68.0,1976.0,10882.35294117647
Podgórze,Kraków,4.0,399121.0,1.0,39.47,2021.0,10112.00912085128
Bieżanów-Prokocim,Kraków,1.0,354981.0,2.0,38.17,2022.0,9300.0
Prądnik Biały,Kraków,2.0,495000.0,2.0,60.0,2008.0,8250.0
Nowa Huta,Kraków,10.0,1033916.4,3.0,87.03,2021.0,11880.0
Podgórze,Kraków,4.0,779000.0,3.0,80.58,2021.0,9667.41126830479
Bronowice,Kraków,0.0,599900.0,4.0,72.16,1979.0,8313.470066518847
Prądnik Biały,Kraków,1.0,450063.0,2.0,47.4,2021.0,9495.0
Podgórze Duchackie,Kraków,4.0,499000.0,3.0,55.23,2021.0,9034.944776389644
Zwierzyniec,Kraków,1.0,1207500.0,5.0,102.0,2020.0,11838.235294117649
Zwierzyniec,Kraków,0.0,275000.0,1.0,26.0,1930.0,10576.923076923076
Krowodrza,Kraków,0.0,315000.0,2.0,37.0,1970.0,8513.513513513513
Bieżanów-Prokocim,Kraków,2.0,353188.0,2.0,38.39,2021.0,9200.0
Dębniki,Kraków,1.0,399000.0,1.0,43.6,2007.0,9151.37614678899
Dębniki,Kraków,2.0,475000.0,2.0,55.0,2008.0,8636.363636363636
